Generation	Clone	Deme	Genotype	DriverGenotype	Parent	DriverParent	X	Y	NormalCells	Population	BirthRate	MigrationRate	DeathRate	MigrationModifier	DriverMutations	MigrationMutations	PassengerMutations	S1Mutations	S2Mutations	S3Mutations
10.013690	54	0	2065	9	1489	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	141	60	59	24
10.013690	55	0	2036	1	1973	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	132	57	53	23
10.013690	56	0	1766	78	1551	63	72	72	218	1	1.434826	0.000088	0.000000	0.574219	3	0	157	51	75	34
10.013690	57	0	1560	6	1250	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	153	59	62	35
10.013690	58	0	1361	9	1343	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	143	61	61	23
10.013690	59	0	2031	51	2023	1	72	72	218	1	1.500797	0.000088	0.000000	0.574219	2	0	142	56	60	28
10.013690	60	0	1145	42	1096	4	72	72	218	1	1.478052	0.000088	0.000000	0.574219	3	0	123	46	50	30
10.013690	61	0	2055	3	1487	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	109	51	35	24
10.013690	62	0	2022	30	1823	6	72	72	218	1	1.519968	0.000088	0.000000	0.574219	4	0	127	57	46	28
10.013690	63	0	1630	71	1623	1	72	72	218	1	1.537547	0.000088	0.000000	0.574219	2	0	142	51	58	35
10.013690	64	0	1413	9	1395	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	157	64	63	32
10.013690	65	0	1876	1	1813	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	156	66	57	34
10.013690	66	0	1486	3	1078	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	103	48	33	23
10.013690	67	0	2091	1	1670	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	128	52	52	25
10.013690	68	0	2103	1	1668	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	146	56	61	30
10.013690	69	0	1370	20	1180	0	72	72	218	1	1.075048	0.000088	0.000000	0.574219	1	0	86	32	38	17
10.013690	70	0	1904	3	1375	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	108	52	32	25
