Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	S1(MeanNum)	S2(MeanNum)	S3(MeanNum)	VarS1	VarS2	VarS3	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
69.136948	393	7862	7470	0	134.944016	0.000000	111.406471	0.000000	12.409669	8.468193	0.117048	0.000000	1963.851807	122.615906	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	386	386	1	1	1	5923	1	11510	393	0	0	0	0	0	0	0	0	0	0
70.137741	413	8262	7850	0	137.539948	0.000000	106.732605	0.000000	12.273608	8.861985	0.142857	0.000000	2327.134033	156.571182	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	405	405	1	1	1	6233	1	12111	413	0	0	0	0	0	0	0	0	0	0
71.138588	411	8673	8263	0	139.732361	0.000000	113.475746	0.000000	12.399027	8.939173	0.090024	0.000000	2097.479004	101.669121	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	402	402	1	1	1	6538	1	12725	411	0	0	0	0	0	0	0	0	0	0
72.138725	405	9100	8696	0	141.582718	0.000000	103.724625	0.000000	12.456790	9.177778	0.093827	0.000000	2233.199463	108.434799	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	388	388	1	1	1	6812	1	13326	405	0	0	0	0	0	0	0	0	0	0
73.145874	413	9484	9072	0	144.004837	0.000000	106.518158	0.000000	12.670702	9.399516	0.087167	0.000000	2523.081299	104.862274	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	398	398	1	1	1	7076	1	13866	413	0	0	0	0	0	0	0	0	0	0
74.146156	419	9925	9507	0	146.152740	0.000000	98.043510	0.000000	13.398568	9.116945	0.107399	0.000000	2219.268311	130.167328	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	404	404	1	1	1	7378	1	14487	419	0	0	0	0	0	0	0	0	0	0
75.147224	424	10332	9909	0	148.384430	0.000000	91.147011	0.000000	13.591981	9.016509	0.198113	0.000000	2358.881836	229.357773	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	414	414	1	1	1	7684	1	15091	424	0	0	0	0	0	0	0	0	0	0
76.150337	435	10776	10342	0	150.517242	0.000000	93.376167	0.000000	13.765517	9.202299	0.163218	0.000000	2660.195312	173.412094	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	422	422	1	1	1	7980	1	15713	435	0	0	0	0	0	0	0	0	0	0
77.153763	451	11246	10796	0	152.268295	0.000000	98.458000	0.000000	13.711752	9.629712	0.283814	0.000000	3091.158447	319.670746	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	433	433	1	1	1	8328	1	16402	451	0	0	0	0	0	0	0	0	0	0
78.156151	461	11663	11203	0	152.995667	0.000000	100.182281	0.000000	13.887201	9.924078	0.240781	0.000000	3154.349365	276.272614	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	453	453	1	1	1	8634	1	17005	461	0	0	0	0	0	0	0	0	0	0
