Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	S1Mutations	S2Mutations	S3Mutations	BirthRate	MigrationRate	OriginTime	Descendants
1	22667	22950	725	9	0	0	452	172	159	130	5.123222	0.000088	19.991003	1
1	22777	22952	713	8	0	0	436	164	156	124	5.445080	0.000088	19.991173	1
1	21827	22954	915	9	0	0	462	168	172	131	5.134372	0.000088	19.992243	1
1	22868	22956	1039	10	0	0	517	200	193	134	4.525288	0.000088	19.992264	1
1	22901	22958	628	7	0	0	478	183	171	131	4.674664	0.000088	19.992327	1
1	22909	22960	633	9	0	0	520	203	195	131	3.761056	0.000088	19.993019	1
1	21995	22962	805	10	0	0	476	186	175	125	3.520433	0.000088	19.993248	1
1	22235	22964	919	12	0	0	491	190	179	134	3.875494	0.000088	19.993301	1
1	22733	22966	846	8	0	0	460	179	171	118	5.396563	0.000088	19.993422	1
1	22790	22967	1021	9	0	0	500	169	187	153	5.366689	0.000088	19.993423	1
1	22790	22968	1021	9	0	0	494	170	184	149	5.366689	0.000088	19.993423	1
1	22709	22972	952	8	0	0	503	193	182	136	5.862268	0.000088	19.993990	1
1	22793	22974	840	12	0	0	457	177	166	126	3.728797	0.000088	19.994099	1
1	20764	22976	628	7	0	0	433	162	160	118	4.674664	0.000088	19.994169	1
1	22874	22978	825	10	0	0	528	203	191	144	3.849407	0.000088	19.994747	1
1	22754	22980	730	7	0	0	406	150	168	95	2.996694	0.000088	19.994802	1
1	22129	22982	633	9	0	0	497	190	190	126	3.761056	0.000088	19.994921	1
1	22812	22984	628	7	0	0	461	171	167	130	4.674664	0.000088	19.995262	1
1	22263	22986	358	8	0	0	453	175	160	126	3.365728	0.000088	19.995670	1
1	21460	22988	790	10	0	0	446	184	161	111	3.919246	0.000088	19.996151	1
